year,product,price
2018,heated tabacco,468
2019,heated tabacco,490
2020,heated tabacco,503
2021,heated tabacco,548
2022,heated tabacco,573
2023,heated tabacco,580
2024,heated tabacco,580
2015,cigarettes,410
2016,cigarettes,417
2017,cigarettes,422
2018,cigarettes,437
2019,cigarettes,470
2020,cigarettes,496
2021,cigarettes,543
2022,cigarettes,573
2023,cigarettes,573
2024,cigarettes,573
2010,alcohol,1211
2011,alcohol,1171
2012,alcohol,1149
2013,alcohol,1140
2014,alcohol,1146
2015,alcohol,1135
2016,alcohol,1128
2017,alcohol,1163
2018,alcohol,1175
2019,alcohol,1172
2020,alcohol,1168
2021,alcohol,1119
2022,alcohol,1137
2023,alcohol,1171
2024,alcohol,1137
2010,whiskey,1305
2011,whiskey,1297
2012,whiskey,1254
2013,whiskey,1236
2014,whiskey,1236
2015,whiskey,1215
2016,whiskey,1360
2017,whiskey,1417
2018,whiskey,1434
2019,whiskey,1437
2020,whiskey,1435
2021,whiskey,1425
2022,whiskey,1421
2023,whiskey,1597
2024,whiskey,1769
